fips,state_fips,year,death_supp,death_miss,deaths,population,crude_rate,expansion,post,treated,ever_missing_flag,count_year,pop_total,pct_white,pop_20_64,pct_55_64,log_20_64,log_35_44,log_f_20_64,unemp,state_abb
19107,19,2014,0,0,27,5599,482.22896945883195,1,1,1,0,9,10235,0.9884709330727894,5571,0.2737390055645306,8.625329850020815,6.9930151229329605,7.890582534656536,4.43076923076923,IA
19107,19,2015,0,0,14,5526,253.34781035106766,1,1,1,0,9,10164,0.9844549390003936,5542,0.28256946950559364,8.620110725422924,7.026426808699636,7.884199933676039,4.20769230769231,IA
19107,19,2016,0,0,25,5494,455.0418638514743,1,1,1,0,9,10132,0.9842084484800632,5507,0.287997094606864,8.613775289262481,6.994849985833071,7.875119281040293,4.25384615384615,IA
19107,19,2017,0,0,26,5472,475.14619883040933,1,1,1,0,9,10092,0.98414585810543,5464,0.2964860907759883,8.605936401250625,7.005789019253503,7.874739125171811,3.53076923076923,IA
19109,19,2012,0,0,27,8218,328.54709174981747,1,0,0,0,9,15421,0.98657674599572,8222,0.28484553636584775,9.014568767457824,7.2868764117507,8.295049140435111,3.9,IA
19109,19,2013,0,0,29,8194,353.9175006102026,1,0,0,0,9,15365,0.9843800846078752,8224,0.2915856031128405,9.014811987694946,7.282073658093465,8.29054350077274,3.56153846153846,IA
19109,19,2014,0,0,23,8123,283.1466207066355,1,1,1,0,9,15310,0.9838014369693012,8187,0.293025528276536,9.010302809376448,7.285506548522785,8.286269452783065,3.22307692307692,IA
19109,19,2015,0,0,36,8099,444.49932090381526,1,1,1,0,9,15198,0.978484011054086,8130,0.2986469864698647,9.003316202541857,7.273092595999522,8.278682162970906,2.81538461538462,IA
19109,19,2016,0,0,20,8055,248.29298572315332,1,1,1,0,9,15210,0.9784352399737016,8132,0.30189375307427446,9.003562174748238,7.305860032684009,8.276903481267057,2.59230769230769,IA
19109,19,2017,0,0,28,7924,353.35689045936397,1,1,1,0,9,15039,0.977325620054525,7980,0.3080200501253133,8.984693690443855,7.322510433997394,8.254528881939745,2.33846153846154,IA
19111,19,2012,0,0,100,20694,483.2318546438581,1,0,0,0,9,35562,0.9529554018334176,20777,0.25306829667420705,9.941601884644786,8.291797105048733,9.20432229965062,7.2,IA
19111,19,2013,0,0,89,20820,427.4735830931796,1,0,0,0,9,35263,0.9533788957263988,20510,0.258946855192589,9.928667851066429,8.29154650988391,9.19664704484418,7.12307692307692,IA
19111,19,2014,0,0,93,20364,456.6882734236889,1,1,1,0,9,35082,0.9534234080155064,20252,0.2621963262887616,9.9160088330898,8.27893600229198,9.18840146445743,5.88461538461539,IA
19111,19,2015,0,0,95,20075,473.2254047322541,1,1,1,0,9,34930,0.9527912968794732,20041,0.2671024399980041,9.905535454153428,8.278428259199071,9.17636985240503,5.30769230769231,IA
19111,19,2016,0,0,121,19753,612.5651799726623,1,1,1,0,9,34453,0.9522537950251068,19712,0.26922686688311687,9.888982866333246,8.265392930852224,9.156517565278676,5.96923076923077,IA
19111,19,2017,0,0,106,19528,542.8103236378533,1,1,1,0,9,34245,0.9513505621258578,19390,0.27338834450747806,9.872512748236698,8.263590432617319,9.143024664691316,5.33846153846154,IA
19113,19,2012,0,0,366,128420,285.002336084722,1,0,0,0,9,216301,0.9206106305564932,129079,0.2016362072839114,11.768179899002329,10.226548834389476,11.073707070056672,5.23846153846154,IA
19113,19,2013,0,0,359,128558,279.2513884783522,1,0,0,0,9,217514,0.9177937971808712,129333,0.20536135402410832,11.770145752614392,10.23055859321628,11.07680525390243,5.01538461538462,IA
19113,19,2014,0,0,375,129253,290.1286623908149,1,1,1,0,9,219483,0.9132506845632692,130193,0.20799889394975152,11.77677324387044,10.243026510528123,11.082157933374816,4.39230769230769,IA
19113,19,2015,0,0,398,129987,306.1844646003062,1,1,1,0,9,221384,0.9102238644165792,130781,0.2119421016814369,11.78127944751515,10.253968352311531,11.084508977444957,3.75384615384615,IA
19113,19,2016,0,0,412,130337,316.103639028058,1,1,1,0,9,223629,0.9049720742837468,131522,0.21495263149891272,11.786929416987036,10.257975105879424,11.088629157576872,3.64615384615385,IA
19113,19,2017,0,0,382,131308,290.9190605294422,1,1,1,0,9,226246,0.8999009927247332,132596,0.21748016531418743,11.79506219036638,10.27487868031054,11.09819758958288,3.29230769230769,IA
19115,19,2012,0,0,24,6456,371.74721189591077,1,0,0,0,9,11271,0.966551326412918,6445,0.2279286268425136,8.771059915373288,7.20934025660291,8.030084094267563,5.49230769230769,IA
