fips,effect,pop
39163,73.1440340528616,7914
39165,-11.460272782229566,129190
39167,16.903459837430365,35751
39169,2.048036988220204,64942
39171,53.33945107199192,21540
39173,-22.250648953886042,78161
39175,-20.83446869128933,12740
4001,30.491184904547197,39014
4003,-19.771609923530107,71947
4005,-11.289967170955634,84114
4007,106.03286267840423,27398
4009,-12.770674479328108,21144
4011,-80.70808686011233,5189
4012,36.344559141708146,9193
4013,-14.235833938051002,2350187
4015,-19.11840974844489,107627
4017,-24.77235904115402,57721
4019,-20.374049268057064,573660
4021,-7.870189218363393,216755
4023,-40.145845000568755,24634
4025,-17.22231901958913,113674
4027,-19.556439466021402,107111
41001,-67.61935036491802,8688
41003,-34.14305906504211,54752
41005,-22.078783534783753,231527
41007,-16.428963284921018,22103
41009,-52.2099798783583,28912
41011,20.016249344129918,35059
41013,55.00811798307319,11405
41015,-9.920896702905452,11689
41017,-40.15492933690143,97415
41019,37.359838394977345,59126
41021,-49.25164960361477,1091
41023,-47.28435522050046,3886
41025,-29.294259491027375,3957
41027,-49.09858535377532,13350
41029,-18.58125299432357,118845
41031,-119.72282710292322,11568
41033,-17.115674929664266,44983
41035,55.71785374728853,37602
41037,74.06950235476688,4475
41039,-28.28282352863883,216327
41041,29.32918053934081,26507
41043,-7.716019685072162,68438
41045,17.74741105039999,17177
41047,-28.161623054679723,186005
41049,-38.12081414727031,6260
41051,-42.7978304112319,508843
41053,-46.66681693822525,43148
41055,-49.25164960361478,952
41057,17.985107823625555,14199
41059,-5.225988419831822,44402
41061,-34.087500733916634,14418
41063,85.44939929020758,3708
41065,11.902876774826275,14351
41067,-38.15462728700754,342220
41069,-49.25164960361477,668
41071,-4.795171926143325,58067
44001,7.042235496382318,28497
44003,-33.45832503436441,101191
44005,-23.352233194883325,48850
44007,-10.648005078093348,385725
44009,-26.60329877144946,74664
50001,-74.83859389881562,22211
50003,42.63004081711031,20863
50005,-3.871195366382665,18337
50007,-8.39137854703091,100919
50009,88.04739835671323,3618
5001,47.33980916091349,10813
50011,38.11434553308388,29434
50013,81.02536948427709,4336
50015,2.715355181248242,15206
50017,-11.226558192941866,17448
50019,5.508166009079233,15672
50021,32.756575182483616,36223
50023,-6.001783704381637,36012
50025,-44.65518136764704,26399
50027,-11.38425227981736,33129
5003,22.867131075298204,11989
5005,-35.48315489169657,20765
5007,-33.865695989029234,136922
5009,56.05414039981238,20921
5011,3.318994301436632,6352
5013,117.63894697649991,3167
5015,-22.546712128043296,15382
5017,-2.8862057151961267,6342
5019,-23.49657138553922,13197
5021,-16.238302179669034,8579
5023,8.151892592747004,13785
5025,139.83447339558387,4786
5027,-91.84066382146287,13649
5029,-10.867489097619298,12022
5031,-58.14258409575704,59982
5033,-28.40341834182246,35509
5035,-24.450690025763436,28602
5037,-58.19397510204588,9849
5039,58.93860854719625,4409
5041,25.372946401576826,6909
5043,128.8374895573572,10765
5045,-18.93323199105845,73551
5047,28.407293650507057,10073
5049,67.8133259386193,6512
5051,-11.9015443014722,54174
5053,23.054485276853054,10490
5055,49.96272459433148,25003
5057,-17.636955615564233,12498
5059,63.048157522879706,19797
5061,-27.897645385098855,7480
5063,3.92091056026473,20967
5065,31.453579520590154,7336
5067,8.966341708769704,10784
5069,68.48909685634911,43074
5071,9.686817942204513,14758
5073,-67.05102272159661,4073
5075,4.506407571219313,9415
5077,-41.87601634549216,6153
5079,51.33800149126972,9323
5081,79.04201283979631,7158
5083,7.453178887039485,12294
5085,7.605276072065915,41554
5087,68.21486436903183,8961
5089,-59.126580517807554,8983
5091,16.162161483409292,25593
5093,39.04261682591667,25638
5095,72.1268410785051,4320
5097,110.85467053235125,4936
5099,18.040304310050573,4941
5101,-83.89585301986656,4436
5103,32.97085637797733,14292
5105,-18.316769989442307,5940
5107,-47.843940414106044,11105
5109,-77.54531180602207,6234
5111,95.5116424376937,13806
5113,-21.623710020643244,10910
5115,-10.241909636465522,36758
5117,-71.77424506246325,4637
5119,-7.695775086800959,238550
5121,56.210645819834554,9895
5123,-78.66958960769605,16830
5125,23.682744310976062,65566
5127,139.82869992655472,6024
5129,-26.21350353090463,4410
5131,8.591671779282388,74855
5133,-19.67573449006357,9560
5135,29.780974832550953,8817
5137,-13.875937635680515,6644
5139,22.896239119400917,23489
5141,3.622458038628565,9141
5143,-30.07986197361157,130102
5145,6.5100812042217555,45353
5147,11.249828951701431,3922
5149,85.24091722636143,12281
