omega,weighting
6.107735921770599e-4,Equally weighted
7.101036437447485e-4,Equally weighted
6.729054708057671e-4,Equally weighted
5.788585039092581e-4,Equally weighted
6.130703076784058e-4,Equally weighted
6.081529518848567e-4,Equally weighted
6.113231431931587e-4,Equally weighted
6.094687087272178e-4,Equally weighted
6.242129877426473e-4,Equally weighted
6.500858743829265e-4,Equally weighted
5.780642377490196e-4,Equally weighted
6.203209850399471e-4,Equally weighted
6.159931777367158e-4,Equally weighted
6.06716886084355e-4,Equally weighted
6.112942760175536e-4,Equally weighted
6.189600674854741e-4,Equally weighted
6.099664851343323e-4,Equally weighted
6.113274009039665e-4,Equally weighted
6.4766386967426e-4,Equally weighted
6.035572655486569e-4,Equally weighted
7.313553517375639e-4,Equally weighted
6.077656144842616e-4,Equally weighted
6.113316572741351e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.885486550614073e-4,Equally weighted
6.837723729221552e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.09543956167017e-4,Equally weighted
8.474567054707144e-4,Equally weighted
6.656100028033146e-4,Equally weighted
6.113451747111107e-4,Equally weighted
5.98839993220166e-4,Equally weighted
6.113608390821085e-4,Equally weighted
6.334415083588583e-4,Equally weighted
6.11365096885373e-4,Equally weighted
5.134042292755413e-4,Equally weighted
6.607206955877936e-4,Equally weighted
5.582979523047644e-4,Equally weighted
6.303285779001853e-4,Equally weighted
6.162203345742224e-4,Equally weighted
6.40318409232735e-4,Equally weighted
6.11302773050902e-4,Equally weighted
6.29865379033185e-4,Equally weighted
5.050473049960848e-4,Equally weighted
6.214541982199e-4,Equally weighted
6.868648723301991e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.616691316134577e-4,Equally weighted
6.666415786323481e-4,Equally weighted
6.113891380648912e-4,Equally weighted
6.094533679507177e-4,Equally weighted
5.911846209268177e-4,Equally weighted
5.142718335926351e-4,Equally weighted
5.531166738349141e-4,Equally weighted
5.042397917179724e-4,Equally weighted
5.888703999109323e-4,Equally weighted
6.113010947045115e-4,Equally weighted
5.77433905141836e-4,Equally weighted
6.113934007256658e-4,Equally weighted
6.54442175285534e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.536040710492754e-4,Equally weighted
6.104261754549318e-4,Equally weighted
8.313838835028647e-4,Equally weighted
8.641745336803971e-4,Equally weighted
8.831111191390552e-4,Equally weighted
6.408421864313598e-4,Equally weighted
6.352884076156573e-4,Equally weighted
6.132897672998454e-4,Equally weighted
6.097478927220164e-4,Equally weighted
6.289449268966759e-4,Equally weighted
6.11402050617073e-4,Equally weighted
4.96918075335144e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.480624292035772e-4,Equally weighted
6.114394812125864e-4,Equally weighted
6.119060535571007e-4,Equally weighted
5.765822337945015e-4,Equally weighted
5.406919567830727e-4,Equally weighted
6.667037662843044e-4,Equally weighted
8.993844303793069e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.835786369143114e-4,Equally weighted
6.114559968994934e-4,Equally weighted
5.415212553088697e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.094842169886739e-4,Equally weighted
6.243029732748753e-4,Equally weighted
6.262924797294107e-4,Equally weighted
6.109491904147852e-4,Equally weighted
5.89354530016538e-4,Equally weighted
6.046524902630607e-4,Equally weighted
6.010050731115565e-4,Equally weighted
6.488961332983671e-4,Equally weighted
6.215034489707185e-4,Equally weighted
5.779608084413223e-4,Equally weighted
6.222652653770955e-4,Equally weighted
6.743499253695866e-4,Equally weighted
6.165835392862333e-4,Equally weighted
6.262540343285728e-4,Equally weighted
5.865053470601014e-4,Equally weighted
5.732432957617198e-4,Equally weighted
6.029616193472752e-4,Equally weighted
6.189318956002147e-4,Equally weighted
5.78460677794485e-4,Equally weighted
6.0901014337735e-4,Equally weighted
6.305388385688486e-4,Equally weighted
5.816673001148543e-4,Equally weighted
5.88504254421176e-4,Equally weighted
6.010493919247855e-4,Equally weighted
6.809997363678446e-4,Equally weighted
5.830019368009724e-4,Equally weighted
5.238878657144831e-4,Equally weighted
5.243081505829063e-4,Equally weighted
6.414698977313883e-4,Equally weighted
6.064317790708184e-4,Equally weighted
6.504333841097477e-4,Equally weighted
6.090825002321678e-4,Equally weighted
5.828262926637841e-4,Equally weighted
6.179362266631139e-4,Equally weighted
5.622885705424147e-4,Equally weighted
7.142996829202943e-4,Equally weighted
5.24878258348415e-4,Equally weighted
5.713492612840637e-4,Equally weighted
5.233256204864552e-4,Equally weighted
6.022228600781073e-4,Equally weighted
6.138057070231556e-4,Equally weighted
5.896288518916406e-4,Equally weighted
6.628880255764545e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.668622448367632e-4,Equally weighted
5.370097956536893e-4,Equally weighted
6.138577784782742e-4,Equally weighted
7.024550125886075e-4,Equally weighted
6.707069748680416e-4,Equally weighted
5.136697510950279e-4,Equally weighted
5.843843177522577e-4,Equally weighted
5.710760982027978e-4,Equally weighted
5.752780837745257e-4,Equally weighted
6.192673535938237e-4,Equally weighted
5.992850860722108e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.384662423128753e-4,Equally weighted
5.922857754429814e-4,Equally weighted
5.816691336975658e-4,Equally weighted
6.095776041582006e-4,Equally weighted
5.694767601639031e-4,Equally weighted
6.361734236612685e-4,Equally weighted
5.843766788568234e-4,Equally weighted
5.695119533567975e-4,Equally weighted
6.250773261484438e-4,Equally weighted
5.383729285078789e-4,Equally weighted
5.258876544228221e-4,Equally weighted
5.129755483692837e-4,Equally weighted
5.249535670716145e-4,Equally weighted
6.259238744151946e-4,Equally weighted
5.778161044815755e-4,Equally weighted
6.190857875430967e-4,Equally weighted
5.368741794443612e-4,Equally weighted
6.274307639793422e-4,Equally weighted
6.146568188509413e-4,Equally weighted
6.530214557597616e-4,Equally weighted
6.213969927427738e-4,Equally weighted
6.317126816742859e-4,Equally weighted
5.776901406993754e-4,Equally weighted
5.489041397049832e-4,Equally weighted
5.849449927068652e-4,Equally weighted
5.779102656529902e-4,Equally weighted
6.20384215994109e-4,Equally weighted
6.258032202477765e-4,Equally weighted
6.089716132229275e-4,Equally weighted
5.895943649310554e-4,Equally weighted
5.418719372436956e-4,Equally weighted
6.082675867416531e-4,Equally weighted
6.602304180135504e-4,Equally weighted
6.19029901144924e-4,Equally weighted
5.05085412463918e-4,Equally weighted
6.163992595183119e-4,Equally weighted
6.051005610317787e-4,Equally weighted
6.516082464044639e-4,Equally weighted
6.573313021557587e-4,Equally weighted
6.353511768092744e-4,Equally weighted
6.209846539896035e-4,Equally weighted
5.986083088996951e-4,Equally weighted
5.582050251456829e-4,Equally weighted
5.839930486088921e-4,Equally weighted
5.580290927946727e-4,Equally weighted
7.724493519765297e-4,Equally weighted
5.41291076488866e-4,Equally weighted
6.275403221528258e-4,Equally weighted
5.829775708278669e-4,Equally weighted
7.477965777188036e-4,Equally weighted
6.214154675548587e-4,Equally weighted
7.013825408118615e-4,Equally weighted
5.879380244157664e-4,Equally weighted
6.143343009530626e-4,Equally weighted
5.754582797837873e-4,Equally weighted
7.290381604804747e-4,Equally weighted
5.82312960109018e-4,Equally weighted
6.092702018947841e-4,Equally weighted
6.06155817332102e-4,Equally weighted
6.049640734973913e-4,Equally weighted
7.027351718937646e-4,Equally weighted
6.070367953181426e-4,Equally weighted
6.05654257450485e-4,Equally weighted
6.167558437209206e-4,Equally weighted
6.067569829844778e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.204303755729461e-4,Equally weighted
6.164639796282796e-4,Equally weighted
5.809004678580741e-4,Equally weighted
6.043373644992753e-4,Equally weighted
5.798028967603484e-4,Equally weighted
5.712637290728195e-4,Equally weighted
5.78156346828108e-4,Equally weighted
5.728725974229423e-4,Equally weighted
6.182359505218061e-4,Equally weighted
0.00055299116599869305,Equally weighted
6.328457295723377e-4,Equally weighted
6.810897439348466e-4,Equally weighted
6.197770731646454e-4,Equally weighted
6.012052156225269e-4,Equally weighted
6.193370433130862e-4,Equally weighted
6.140115611955533e-4,Equally weighted
6.46577545520309e-4,Equally weighted
5.849515471730834e-4,Equally weighted
6.685491918591784e-4,Equally weighted
7.16193193330843e-4,Equally weighted
5.79445489544202e-4,Equally weighted
5.848406136228288e-4,Equally weighted
5.780022890795992e-4,Equally weighted
5.530655395622195e-4,Equally weighted
6.117317109621183e-4,Equally weighted
6.208522136299529e-4,Equally weighted
6.279189652133866e-4,Equally weighted
6.06772014992244e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.518131882923614e-4,Equally weighted
5.873686522840886e-4,Equally weighted
5.424221289145421e-4,Equally weighted
