omega,weighting
6.435271407990102e-4,Equally weighted
6.09363786089966e-4,Equally weighted
6.906735272496499e-4,Equally weighted
5.39634420826323e-4,Equally weighted
7.214698740235508e-4,Equally weighted
5.946647896650075e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.147131703310528e-4,Equally weighted
6.551373019988959e-4,Equally weighted
6.162901171616767e-4,Equally weighted
6.163686495006407e-4,Equally weighted
6.109312797033938e-4,Equally weighted
6.522339470625895e-4,Equally weighted
5.25661960635957e-4,Equally weighted
6.162525314685995e-4,Equally weighted
5.92505997055457e-4,Equally weighted
6.146616080256816e-4,Equally weighted
8.084624078645965e-4,Equally weighted
6.152439039590491e-4,Equally weighted
5.480106476664836e-4,Equally weighted
6.041026591517881e-4,Equally weighted
6.455303882754123e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.223871839141755e-4,Equally weighted
6.297962712451706e-4,Equally weighted
6.497474942349736e-4,Equally weighted
5.768451731021693e-4,Equally weighted
6.644203841438663e-4,Equally weighted
5.820001621674072e-4,Equally weighted
6.573313309390611e-4,Equally weighted
6.16260492034004e-4,Equally weighted
6.31261616270671e-4,Equally weighted
5.670218294586921e-4,Equally weighted
6.162619106363071e-4,Equally weighted
6.115234394200563e-4,Equally weighted
6.321100496462811e-4,Equally weighted
6.287491933182848e-4,Equally weighted
6.119271587800742e-4,Equally weighted
5.967326206692468e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.061586416016294e-4,Equally weighted
6.737633446581384e-4,Equally weighted
5.191665992145268e-4,Equally weighted
6.016065674734549e-4,Equally weighted
8.59970515852452e-4,Equally weighted
7.772316248774325e-4,Equally weighted
6.163101074572967e-4,Equally weighted
6.125499131497341e-4,Equally weighted
6.163700753246876e-4,Equally weighted
6.51873560678828e-4,Equally weighted
6.084889633060988e-4,Equally weighted
6.194397064584661e-4,Equally weighted
6.902410990491189e-4,Equally weighted
5.501624642566873e-4,Equally weighted
6.323110821757373e-4,Equally weighted
6.473851083280989e-4,Equally weighted
6.023205829935425e-4,Equally weighted
6.220686510782782e-4,Equally weighted
6.242736218482486e-4,Equally weighted
5.772405755015569e-4,Equally weighted
6.209709550536192e-4,Equally weighted
6.674883773056917e-4,Equally weighted
5.902726150534776e-4,Equally weighted
6.772520826378086e-4,Equally weighted
6.806948311444931e-4,Equally weighted
6.163714982901652e-4,Equally weighted
6.538818044379303e-4,Equally weighted
5.922262144896664e-4,Equally weighted
5.49648954056502e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.371022979833554e-4,Equally weighted
6.074382552825459e-4,Equally weighted
5.880263887278074e-4,Equally weighted
6.715481250610831e-4,Equally weighted
6.162856302220895e-4,Equally weighted
6.453520047526098e-4,Equally weighted
5.190188693428791e-4,Equally weighted
5.773316781665482e-4,Equally weighted
6.05425954733555e-4,Equally weighted
7.518674604394627e-4,Equally weighted
9.309838469931371e-4,Equally weighted
6.553178396783421e-4,Equally weighted
6.455721834341461e-4,Equally weighted
6.818995496031232e-4,Equally weighted
5.977988506621238e-4,Equally weighted
5.981076507760131e-4,Equally weighted
